A,participant_id,age,gender,reaction_time,stimuli_id,condition,pause_length,pause_onset,pause_type,stimuli_length,stimuli_onset,replaced,target,handedness,silent
0,1,24,man,0.661266127979281,11,exp1,0.448514000000003,2.708742,silent,0.370818,3.203167,öh,lära,80,True
1,1,24,man,1.03228843399674,18,exp1,0.529741000000001,3.48569500000001,ehm,0.247212000000005,4.043689,silence,så,80,False
2,1,24,man,0.973366602002024,4,exp1,0.437918999999997,3.291285,öh,0.995913000000002,3.766286,silence,fritid,80,False
3,1,24,man,0.611297944045395,1,exp1,0.436153,1.904419,silent,0.446749,2.363527,öh,träffa,80,True
5,1,24,man,0.589312665025403,7,exp1,0.327556000000001,2.509206,silent,0.554462000000001,2.842501,öh,igår,80,True
6,1,24,man,0.645863239004256,120,exp1,0.349036000000069,0.916218999999956,öh,0.142923999999994,1.27127300000007,silence,känner,80,False
7,1,24,man,0.54605666396302,3,exp1,0.442631,2.499047,öh,0.374421,2.947483,silence,mitt,80,False
8,1,24,man,0.629399695027303,25,exp1,0.68733899999998,3.053515,silent,0.493424000000005,3.801714,ehm,bordet,80,True
9,1,24,man,0.765726381048217,6,exp1,0.37435,2.562181,silent,0.577417999999998,2.950657,öh,med,80,True
10,1,24,man,0.694141392009002,21,exp1,0.678069000000008,3.05130799999999,ehm,0.490893999999997,3.79471099999999,silence,suger,80,False
11,1,24,man,0.647214151001748,13,exp1,0.400836999999996,2.51097200000001,silent,0.188940000000002,2.92593600000001,öh,knappt,80,True
12,1,24,man,0.649257740021028,8,exp1,0.384062,2.785113,öh,0.446748000000007,3.177121,silence,stan,80,False
13,1,24,man,1.226929102006,5,exp1,0.350512000000002,1.711946,silent,0.173489999999998,2.062458,öh,och,80,True
14,1,24,man,0.441504446959925,119,exp1,0.318945999999983,2.62303299999996,öh,0.334744000000001,2.94197899999995,silence,jobb,80,False
15,1,24,man,0.710158845959,27,exp1,0.526209999999992,3.79647600000001,silent,0.27193299999999,4.35093900000001,ehm,se,80,True
16,1,24,man,0.856758989043129,9,exp1,0.406134000000002,1.825841,silent,0.466172,2.281418,öh,tiden,80,True
17,1,24,man,0.468488049012834,23,exp1,0.674537000000001,2.556882,silent,0.342565999999991,3.231419,ehm,unket,80,True
18,1,24,man,0.68543394699312,2,exp1,0.325348999999999,2.396838,öh,0.282970000000001,2.722187,silence,som,80,False
19,1,24,man,0.656845348014173,17,exp1,0.734574000000009,3.136067,ehm,0.897028000000006,4.146106,silence,nonchalant,80,False
20,1,24,man,0.507093734007697,28,exp1,0.653346999999997,2.21431699999999,ehm,0.522677000000016,2.895917,silence,kanske,80,False
21,1,24,man,0.57081769599921,22,exp1,0.625095000000002,2.60985700000001,ehm,0.448514000000003,3.33030500000001,silence,trots,80,False
